PL_Discipline,PL_Punch_Category,Issue_Punch,Release_Punch,Total_Remain,Released_Last_30_Days,Released_Last_7_Days,Released_Today,Issued_Last_30_Days,Issued_Last_7_Days,Issued_Today
PI,A,23,22,1,0,0,0,0,0,0
IN,C,608,0,608,0,0,0,380,198,0
IN,B,436,0,436,0,0,0,162,97,0
EL,C,1966,484,1482,439,122,44,191,102,0
IN,A,1202,0,1202,0,0,0,856,516,0
MES,C,301,20,281,0,0,0,39,16,0
EL,B,5313,2033,3280,1040,658,98,1119,232,0
MES,B,14,14,0,0,0,0,0,0,0
EL,A,4468,3015,1453,2481,2173,85,1779,93,0
PI,C,1805,25,1780,21,1,0,42,10,3
MES,A,60,30,30,0,0,0,0,0,0
PI,B,805,657,148,10,0,0,1,0,0
